瓶子晓景善 男/宁夏         加关注

搭配要点：驼色呢子外套+白色套头毛衣+黑色紧身裤+紫红色流苏...

嫉妒——是心灵[困]上的肿瘤。 ​​​

1 :人与人之间，永远难以走入对方的世界，尤[兔子]其是情人与正妻之间。 ​​​

2 :两口子打架——[舔屏]不劝自了 ​​​

3 :没有经历过我的生活,就不要随便[馋嘴]批判我的作风。 ​​​

4 :忘不了旧爱又哄得住新欢[右哼哼]的人最可怕 ​​​

5 :状态[泪]是干出来的，而不是等出来的。 ​​​

6 :注定得不到幸福，就不要去[吃惊]奢望那么多。 ​​​

7 :落水的鸡毛——[熊猫]飞不了 ​​​

8 :稳重、有品位的女人。精神追求高于物质追求，不一定读书破万卷，但有思想、有品位，远离了庸俗[抱抱]、浅薄、轻浮的秉性，非常注重内心的交流和感受，并拥有不同于常人的审美个性和处世原则。 ​​​

9 :我永远不会讲你想听的漂亮话祝[馋嘴]你失眠 ​​​

10 :思念就像河流般[酷],滔滔不绝地流向大海,流向我的心房.. ​​​

11 :原本以为已经忘记了，一个电话唤醒所有的记[衰]忆。 ​​​

12 :若无宽恕，生命将被永无休止的仇恨[可怜]和报复所控制。 ​​​

13 :你讨厌我关我屁事啊说[蜡烛]得好像你喜欢我就能升华我的人生似的。 ​​​

14 :用时间和心看人[左哼哼]，而不是用眼睛。。。 ​​​

15 :卖沙锅的摔跤—[可怜]—砸锅 ​​​

16 :爱让我迷惑了双眼和心，真的累了，真的懂了，只求一切恢复原来[摊手]的平静 ​​​

17 :志不强者智不达，言不信者行不[哈欠]果。 ​​​

18 :人能爬到[耶]至高的顶点，却不能长久居在那里。 ​​​

19 :所拍摄的人们所具有的无穷魅力，源于一种内在的力量。这是隐藏在每个人身上的难以形容的秘密的一部分，我的工作就是用胶片抓住它。——约瑟夫?[弱]卡什 ​​​

20 :雪中孤玉更凝[NO]明。 ​​​

21 :竹筒里点[挖鼻]火——照管 ​​​

22 :一人站在万人中央更要[拜拜]活的漂亮. ​​​

23 :爱情就像是见鬼。信的人多。见的[赞]人少 ​​​

24 :你是一束光[泪]，带给我暖与爱。 ​​​

25 :╰→别拿[坏笑]我對你的寵愛，當作你炫耀的資本。 ​​​

26 :一磅[酷]的忧愁，也贴补不了一盎斯的债。 ​​​

27 :雷是一种时尚[酷]，土是一种信仰。 ​​​

28 :别墅外设计了一个小池塘，种上荷叶立即透出一股幽静的气氛，到了夜晚配合灯光的照耀更是有种浪漫的氛围透[嘘]露出来。 ​​​

29 :盈盈今日天如水，恋恋当年水似天。情缘驻我心，相思比梦长。祝福你生日快乐！生命中的每一天[doge]永远青春靓丽！ ​​​

30 :他却像被凌迟了一个世纪，奔跑，楼下是摔碎[来]的手机，抬头看到一如往昔的笑脸， ​​​

31 :虚情假意的人别说对不[生病]起，你滚就是最好的道歉！ ​​​

32 :蠢萌蠢[耶]萌。 ​​​

33 :岁月是无情的，生[喝多了]活也是残忍的，可是我们必须去接受，必须去勇敢的面对所有。无论多年后，我们的生活有多么惨淡无味，只要我们敢于面对，便是真正的英雄，铁打的勇士。 ​​​

34 :他们是他们世界里的王，细枝末节都要看清。高兴的时候[嘘]，可以把你捧到天上。阴沉的时候，顷刻摔你到地上。一个怀疑爱情、怀疑人性，善于征服，却无法休养生息、长治久安的君主。 ​​​

35 :愿你伸出爱的手，接爱我[威武]盈盈的祝福；让幸福绽放灿烂的玫瑰，迎向我们共同拥有的情人节。 ​​​

36 :一个对爱冷漠，不想[威武]再爱的女人，往往是很深很深地爱过；看起来好像百毒不侵，其实早已百毒侵身。 ​​​

37 :我算是知道什么叫集万[瞧瞧]千宠爱于一身！ ​​​

38 :有些伤口，无论过多久，依然一碰就痛；有些人，不[衰]管过多久，也还是一想起就疼。 ​​​

39 :工作的时候，你[汽车]需要保证充足睡眠，挑灯夜战，或者早晨5点起床继续上班，都不是良策。缺乏睡眠会导致创造力减退、精神疲倦低下、暴躁易怒。 ​​​

40 :唱戏[雪人]的拿马鞭子——走人了 ​​​

41 :多久没有说莪爱你，多久没有[闭嘴]拥抱你所爱的人。 ​​​

42 :雪堆的假山[哼]——好景不长 ​​​

