远任妃正缨 女/福建         加关注



张驴儿上公堂——恶人先告状 ​​​

1 :明媚的阳光，安静的诉说着我的忧伤。 ​​​

2 :我一路向北渴望与你殊途同归 ​​​

3 :醉过才知酒浓爱过才知情重你不能做我的诗正如我不能做你的梦。 ​​​

4 :你是哈密我是瓜，生日你不笨瓜瓜，看了短信笑哈哈，不愧是个哈密瓜！祝你生日快乐！ ​​​

5 :闷葫芦盛药——内情不清楚 ​​​

6 :不要刻意把有可能是伙伴的人变成对手。 ​​​

7 :爱情里，没有谁尊谁卑，谁不能平视你，请你远离他；所有的表白都应被珍视，所有的牵手都应被祝福，不要轻易去仰望谁，不要违心去骗自己；爱就深爱，别怕输，肤浅的爱容易干涸。 ​​​

8 :谁又能明白谁的疼爱，谁又能理解谁的离开。 ​​​

9 :人生最大的悲哀不是失去太多，而是计较太多，这也是导致一个人不快乐的重要原因。 ​​​

10 :生命在闪光中见出灿烂，在平凡中见出真实。 ​​​

11 :月明风清，秋意撩人；对酒当歌，倚花堪折。郎情妾意，敢为卿狂；花好月圆，共度良宵。 ​​​

12 :dongbo董波是好人有时候，走过熟悉的街角，看到熟悉的背影，突然想起一个人的脸。 ​​​

13 :转发微博 卡萨帝美颜保湿洗脸机免费试用 ​​​

14 :在电脑的usb接口上面插入一个酒瓶，让电脑工作的时候也喝点酒，绝对够新颖够创意。不过，这是一个酒瓶造型的U盘，由日本某著名酿酒企业设计开发，引起了无数日本酒发烧友的浓厚兴趣。在工作中无法饮酒，也可对它“望梅止渴”。 ​​​

15 :【遇到新上司要积极配合他】现在的公司经常会发生人事变动，一般来说遇到新上司属下的员工都会有一点被别人侵入的感觉，特别当你和前任上司关系非常好的时候这种感觉更强烈,但如果你想要在公司继续混下去，那你要尽快配合新上司，熟悉他的工作作风。 ​​​

16 :在竞争中战败，许多人想到的第一件事就是责备自己，如果你想要坚持下去并且振作起来，那你就必须先停止自责,克服难堪情绪的最好方法，是尽快把事情的来龙去脉讲给周遭的人听。你会发现，原来支持你的人比你想像还要多。 ​​​

17 :【冰牛奶：镇静收紧肌肤】晒后肌肤可能会变得更加燥热松弛，那就是牛奶大展身手的好时机了！先把牛奶放置在冰箱里冷冻一小时，然后将牛奶倒在纱布或者毛巾上，轻轻的敷在脸上，15分钟左右就可以了，每天晚上都敷一次，能够有效的镇静肌肤，还能收紧皮肤防止皱纹的出现哦！ ​​​

18 :【温哥华天桥】温哥华天桥在美国华盛顿州，14号公路阻断了具有历史纪念意义的温哥华堡和毗邻的哥伦比亚河滨，温哥华堡国家公园管理处原本想建个简单安全的钢筋水泥跨路通道，没想到Jones&Jones’s建筑事务所和艺术家合作，为大家奉献了这座号称世界上最美的天桥。 ​​​

19 :红色象征着明艳，热情。正红，西瓜红，玫红，复古红这些红色的单品也是非常好搭的。穿上身，瞬间就变明艳潮girl。 ​​​

20 :【12星座恋爱最傻的地方--天蝎座】一旦相信就全信,宁可被骗。天蝎座一旦谈起恋爱时感性就会占上风，对另一半非常信任,只要对方说什么他都会相信，即使外面有人跟他打小报告，他也不为所动。 ​​​

