若松会 男/其他         加关注



马路上跑火车——不合辙 ​​​

1 :清晨的阳光和你，傍晚的晚霞和你，午夜的凶灵和你. ​​​

2 :幸福如此遥远。。 ​​​

3 :王佐断臂——留一手 ​​​

4 :【星刻龙骑士】第7集，在龙族与人类共生的世界里，藉由某种特殊仪式，人类与龙族可以缔造亲密的主从关系。主角亚修是被称为天才驯龙师的少年，然而他的龙伴侣却迟迟未出现，这令他成为周围的笑柄。 ​​​

5 :【与狮子相恋须知】1、我很慢热，我很冷漠；2、我很直接，讨厌转弯；3、我不喜欢说话，也不喜欢你太吵；4、我喜欢自由的感觉，讨厌啰嗦；5、我心智很成熟，看事很透彻；6、我很绝；7、我需要行动证明你爱我。 ​​​

6 :不联系、占个分组干嘛、不如拉黑。 ​​​

7 :虾子掉在盐堆上——忙（芒）中有闲（咸） ​​​

8 :风从水里吹来，就像是一位怜惜着牛犊的老黄牛，给人的身上留下一层潮湿的东西，烦闷的空气仿佛能滴出水一般，抹下额头几层汗将头发贴紧，一簇一簇的凌乱朝着一个向着夜色的门口奔袭，依靠着栏杆大口大口的呼吸，仿佛要吞掉所有海水里那些能浸透灵魂的湿。 ​​​

9 :嫁给我吧！我给你送上999朵玫瑰！ ​​​

10 :【牛奶富含钙和维生素D】能帮助女性预防骨质疏松。还有研究证明，富含钙和维生素D的饮食能缓解女性经前期综合征。 ​​​

11 :跋子赶马——望尘莫及 ​​​

12 :对美的爱可以表现在一首歌、一个微笑中，或表现在沉默之中，然而我们大多数人不爱沉默。我们没有时间去观看飞鸟或行云，因为我们忙于各种追逐与欢乐。当我们完全开放胸怀，高度地敏感时，才有创造。（克里希那穆提《一生的学习》） ​​​

13 :【蕃茄蜂蜜美白】这个美白配方可同时作脸及手部美白。特别是暗疮皮肤，能有效去油腻，防止感染，使皮肤白皙细致。用法：可将蕃茄搅拌成蕃茄汁后加入适量蜂蜜搅至糊状。均匀涂于脸或手部，待约15分钟洗去。建议每星期做1-2次。 ​​​

14 :在大雄老去病重躺在床上的时候，他对哆啦a梦说：“哆啦a梦，等我死后，你就回到未来，然后好好生活。”说完就闭上了眼睛、可是哆啦a梦并没有回到未来，而是通过时光机回到了大雄小的时候，然后对他说：“你好，我是哆啦a梦，请多指教。” ​​​

15 :“十年生死两茫茫，不思量，自难忘……”华发老者颤颤巍巍地吟唱。“这是没有你的第三个十年了……”女子白衣如雪，衣袂纷飞。他笑笑，仰望着漫天飞雪。 ​​​

16 :【睡前喝上一小杯红酒】红酒又非常棒的美容养颜功效，无论是内服还是外敷都有意想不到的效果。尤其是在每晚临睡前喝上一小杯红酒，能加快血液循环，为肌肤保湿滋养。长期如此，肌肤变得更加水嫩有光泽，呈现出自然红润好气色。不过不能贪杯哦。 ​​​

17 :王哥是单位出名的妻管炎，王嫂说一他不敢说二，我们常拿他开涮。有次晚上加班后聚餐，大家正嬉闹时，王哥手机响了，他一看是王嫂电话，紧张地‘嘘’了声，示意我们暂停讲话，我们也乐呵呵地看王嫂咋奚落他。‘爸爸！’电话里传来一个甜甜的童音：妈妈让我告诉你，开车回家时要注意安全…… ​​​

