徐晓艳_介 男/江苏         加关注



畏惧错误就是[二哈]毁灭进步。 ​​​

1 :沤烂的花生——不是[悲伤]好人（仁） ​​​

2 :象玻璃一破碎便[来]不能粘合， ​​​

3 :伤害你的不是对方的绝情,也[阴险]许是你自己的自作多情。 ​​​

4 :请不要说普通话因为[嘻嘻]哥不是普通人 ​​​

5 :你还真别瞧不起胖子！瘦下来迷[笑cry]死一片一片的 ​​​

6 :没底[话筒]的棺材——成（盛）不了人 ​​​

7 :亲爱的少年，[抓狂]我祝愿你的以后孤独的像条狗。 ​​​

8 :鸭子浮水——飘飘[来]然；暗里使劲；使暗劲；上松下紧 ​​​

9 :也许是缘，但更多是怨，无所谓[闭嘴]是缘是怨，今生相逢已让我珍惜拥有。 ​​​

10 :月儿圆圆照[给力]九州，虽我们不能团聚，但我们的心都相通。祝佳节愉快！ ​​​

11 :那些绢一般柔滑，绸一般细致的字句，三重[委屈]的夸张，刻意雕琢的言语，还有那冬烘的辞藻，象一群下卵的苍蝇。 ​​​

12 :现实太假[污]，还是自己太傻！ ​​​

13 :蜜蜂叮在玻璃上——[草泥马]没有出路 ​​​

14 :伟人之所以看起来伟[弱]大只是因为我们自己在跪着，站起来吧。 ​​​

15 :不肯放[舔屏]手，是因为迷失了自己找不到生活的方向。不肯放手，是因为幻想着谎言是一种无奈的借口。不肯放手，是因为最初的那个谎言美丽而动听。不肯放手，是因为不愿意从梦中醒来看到丑陋。 ​​​

16 :诉说你的梦[二哈]站在巴黎最高的地方遥望那渺小的星星 ​​​

17 :阿狸的世界只有桃[赞]子，就像我的世界只有你。 ​​​

18 :妈妈说。人最好不要错过两样东西，最后一班回家[哼]的车和一个深爱你的人。 ​​​

19 :所谓信心，我是指为[去旅行]人所珍视的、对善的憧憬，和使人不顾阻碍以实现此憧憬的那份热诚。 ​​​

20 :水泡豆腐渣[可怜]——轻松 ​​​

21 :立志不定，[威武]终不济事。 ​​​

22 :闻一多在美国留学时，曾对同学潘光旦说：“你研[微笑]究优生学的结果，假使证明中华民族应当淘汰灭亡，我便只有先用手枪打死你。” ​​​

23 :哪怕不是最动人最暖心的那一刻，[生病]我也会奋不顾身的去找你。 ​​​

24 :生活中没[来]有理想的人，是可怜的人。 ​​​

25 :呜呼人生孰不死，死亦要贵得其所，重如泰[太开心]山轻鸿羽，流芳遗臭俱千古。 ​​​

26 :大多数人想[可怜]要改造这个世界，但却罕有人想改造自己。 ​​​

27 :遇到困[可爱]难要挺起胸膛。——申宝峰 ​​​

28 :真正爱过的人都是明白。在爱情面前，我们都[伤心]不是好人。这个世道是如此的艰辛，爱情犹如一场保卫战，每个人都是虎视眈眈。你们是要克服金钱，文化，家庭背景，以及那些乐此不疲的婊子们的重重艰辛才能走下去。 ​​​

29 :人只是拥抱着时间洗涤不去的记忆。爱也好，恨也好，不会全[耶]部留着。我们记得一些，忘了一些，忘了为何忘了，也害怕忘了不想忘记的，深爱过的记忆，更不想对方比我首先忘记。 ​​​

30 :开口的邮箱——[亲亲]信得过 ​​​

31 :如果遇见就直接走开不需要给[蛋糕]与我任何眼神。 ​​​

