君临磊少_in 女/四川         加关注



不珍惜和会错过是一个永恒的话题！ ​​​

1 :你减，或者不减，肉就在你身上，不舍不弃！ ​​​

2 :这世界太黑暗，我真的累了。 ​​​

3 :喜马拉雅山上点灯——名（明）头大 ​​​

4 :如果有一天我们变陌生了，那么我就重新认识你。 ​​​

5 :不是学会了坚强，那只是逼自己逞强。伤感的爱情句子。 ​​​

6 :不敬他人，是自不敬也。 ​​​

7 :一切皆有因果。 ​​​

8 :十二月说梦话——夜长梦多 ​​​

9 :【育儿方法】 1父母偶尔扮次弱，向孩子求助。2任性时不妨冷处理。3给体验失败的机会。4培养孩子独立。5赏罚分明。6给自负的孩子泼冷水。7认真倾听孩子感受。8在赞美中进步。9陶冶情操。10彼此尊重更亲近。11克服骄奢之气。12防微?杜渐。13立规：学会自控。 ​​​

10 :由于儿童房的床头有横梁压顶的问题，通过在左右两侧定制同宽的收纳柜，在横梁外侧的安装装饰用的木板斗栱，形成拱门造型，反而使床头设计更具特色。 ​​​

11 :【茄汁小黄鱼】1.小黄鱼去肚肠、去鳞洗净2.西红柿去皮切块，准备葱姜蒜3.起油锅煸香葱姜蒜4.放入黄鱼煎一下，放料酒5.放西红柿、盐6.放生抽很老抽7.放开水大火煮开后改中小火8.煮到西红柿浓稠，鱼肉熟透即可。 ​​​

12 :看了此暴漫，不支持同性恋简直就是天理不容啊…… ​​​

13 :自从遇到你的那一刻就注定你是我的全部，没有了你我的生活好孤单 ​​​

14 :以为没有你。。。我可以坚强一个人……终于知道我不行。 ​​​

15 :我以为我可以忘记那些过去的记忆，谁知那只是我在逞强而已。 ​​​

16 :能为一件事拼命努力真的很棒 ​​​

17 :爱不是一个人的事，而是两个人的努力，两个人的奋斗，两个人的共同创造。 ​​​

18 :有恶妻的男人，无须魔鬼。 ​​​

19 :要么玩玩别当真，要么恋爱到结婚。 ​​​

20 :学问之功，贵乎循序渐进，经久不辍，故一日不必要多时。 ​​​

21 :属猪八戒的——好吃懒做 ​​​

22 :色彩，淡淡的就好，深了会褪色生活，简单就好，复杂了会变质。 ​​​

23 :你长的外形不准比例没打好 ​​​

24 :我不敢挽留任何人我不知道我是什么身份 ​​​

25 :错爱是喜欢却不合适的鞋穿了脚痛扔了心痛 ​​​

26 :你是电，李四光，你是唯一的神话。 ​​​

27 :冷漠的人谢谢你们曾经看轻我让我不低头更精采的活 ​​​

28 :谎言说给耳朵听，却让眼睛动了情. ​​​

29 :有些人就是这样，自己是蛆就觉得全世界是一个大粪池。 ​​​

30 :愿你伸出爱的手，接爱我盈盈的祝福；让幸福绽放灿烂的玫瑰，迎向我们共同拥有的情人节。 ​​​

31 :你有病吧你就是我的药阿 ​​​

32 :能和你相伴一生，竟是如此浪漫和美妙，居然让我深沉如一位先哲，浪漫似一名诗人，无需轻言放弃了，再陪着走一程，或许还可以感悟出许多生活的真谛，岂不是一大收获？ ​​​

33 :容不得懦弱只能坚强。 ​​​

34 :“你和莎士比亚有一半像”“哪里像”“莎比” ​​​

35 :你们的执着，一定会上演一段唯美的浪漫。 ​​​

36 :鹤鸣于九皋，声闻于天。 ​​​

