鼻祖天堂蕊 男/湖南         加关注



或许我会继续爱你，只是再也不会打扰你了，祝你幸福。 ​​​

1 :幸福，是一种有节制的满足。满足，本就是一种莫大的福气。 ​​​

2 :当我什么都不想说，什么都不想问，连架都不想吵的时候，说明我彻底失望了。 ​​​

3 :如果能感受到简简单单的幸福，便不会再次沉溺 ​​​

4 :一个人的灵魂高贵还是低贱,难道只看她会不会弹一段钢琴,或看她生在哪门哪户.身上穿戴哪些品牌吗? ​​​

5 :回忆就是我站在原地，而时间早已悄悄流走。 ​​​

6 :别满嘴废话我只想要一个家. ​​​

7 :秃子当皇上——不要王法（发） ​​​

8 :时迁偷鸡——不打自招 ​​​

9 :真的勇士敢于直面惨淡的人生、敢于正视老班的秃头。 ​​​

10 :遥祝：月圆人圆花好，事顺业顺家兴！ ​​​

11 :一个人的死，对于这个世界来说不过是多了一座坟墓，但对于相依为命的人来说，却是整个世界都被坟墓掩埋。 ​​​

12 :不相信任何人和相信任何人，同样都是错误的。 ​​​

13 :牛犊子叫街——懵（meng懵，不清楚〕门了 ​​​

14 :人可以不高尚，但不能无耻;可以不伟大，但不能卑鄙。 ​​​

15 :舍身崖边摘牡丹——贪花不怕死 ​​​

16 :這不是悲傷，這是悲涼大陸上盛開的小小奇葩。 ​​​

17 :幸运和爱，与勇者长相随。 ​​​

18 :残酷无情：你没有大学文凭却取得巨大成就，这时就有人骂你残酷无情了。 ​​​

19 :乌鸦笑猪——光看别人黑，不见自己黑；不知自丑；彼此彼此；彼此一样 ​​​

20 :哭着流泪是怯弱的宣泄笑着流泪是勇敢的宣言。 ​​​

21 :有的人沒那么好，可你就是沒法不爱他。 ​​​

22 :你天天说什么爱我，爱我还TM去操别的女人，真怪我瞎了眼 ​​​

23 :虽然他们在生活中吃了很多苦但是就因为此他们的情感世界却是那么的简单， ​​​

24 :你是我最美的相遇，你是我今生的情缘，你是我一生中最爱的人。我的知心爱人，相逢恨晚，相见亦难，叫我如何不思念，叫我如何不想见你，每一个夜晚都辗转反侧，你的音容笑貌环绕脑际。 ​​​

25 :铁拐李走独木桥——够呛；走险 ​​​

26 :作诗用事，要如禅家语，水中着盐，饮水乃知盐味。 ​​​

27 :深夜,左眼的泪滑进右眼弄痛了我的双眼、 ​​​

28 :灯下点烛——白费蜡 ​​​

29 :猫咪恋爱了，但是它很担忧，因为它不知道对方喜不喜欢…长胡子的女人。 ​​​

30 :千金买邻，八百置舍。 ​​​

31 :沉舟侧畔千帆过，病树前头万木春。 ​​​

32 :所有能被了解的作品，都是新闻学的产物。 ​​​

33 :有很多情头想送给你和你前任 ​​​

34 :石头缝里逮螃蟹——十拿九稳 ​​​

35 :拾取自家桑梓 ​​​

36 :我只想和你简简单单一辈子* ​​​

37 :为了未来好一点，现在苦一点有什么 ​​​

38 :我只是一个疯子，请别介意我的语无伦次。 ​​​

39 :月圆照天下，中秋节快乐！ ​​​

40 :火车头拉纤——独出心裁 ​​​

41 :你就是我最困难时的那位永远支持我的人! ​​​

42 :生活中最大的享受、最高的乐趣就在于觉得自己是为人们所需要的，是使人们感到亲切的。 ​​​

43 :不要人家动动嘴你就动动心。 ​​​

44 :弹花锤子——两头打 ​​​

45 :老鼠嗑瓜子——一张巧嘴 ​​​

46 :一条船上的难友——风雨同舟；同舟共济 ​​​

47 :昨晚做了个梦，上帝命令我必须给十头猪发短信，否则让我打一辈子光棍。惨了，除了你之外我还找不出第二头。 ​​​

48 :伤心落泪也不会责怪你替我抹双眸里打湿的眼眶 ​​​

49 :一哥们去日本出差。朋友们聚会送行，临走前大家集体送了个1TB移动硬盘给他。用祈求的眼生看着他说到。到了日本有时间带点当地土特产，其他的不说了。 ​​​

50 :被自己爱的人骂滚这种感觉有多难受有谁知道吗 ​​​

51 :其实每次看到你心情不好的时候问你怎么了你说没事的时候我都会觉得好陌生 ​​​

52 :没有命中注定的结局，只有不够努力的过程。 ​​​

53 :我仍带着我所有热情向往在等那个风雨夜归的人。 ​​​

54 :无爱无伤无欲则刚，祝我孤独万寿无疆。 ​​​

55 :如果你还愿意，愿意相信我真的觉醒，我会用一切证明，我不会让你伤心。 ​​​

56 :用相貌和气质品评女人的品级，却很少有人往思量心灵的品级。心是有品级的。而它的品级决定一个人一生的成败。 ​​​

57 :乌云的背后是阳光，阳光的背后是彩虹。 ​​​

58 :对于女人，一万朵玫瑰花也不如一枚订婚戒指来得实在。 ​​​

59 :清晨，万籁俱寂，东边的地平线泛起的一丝丝亮光，小心翼翼地浸润着浅蓝色的天幕，新的一天从远方渐渐地移了过来。 ​​​

60 :如果我说对不起你会原谅我吗 ​​​

61 :如果这一生我可以有次好运，我愿意把次都分给你，只留两次给自己：一次是遇见你，一次是永远陪伴着你。 ​​​

62 :很多很多我愿意，只因一句迩喜欢。 ​​​

63 :男人是女人的翅膀，女人却是男人的羽毛。 ​​​

64 :我们的玩笑之中常常藏着真心话。 ​​​

65 :被误会没关系我有做坏人的勇气 ​​​

66 :偷看暗恋的人，被发现了~~ ​​​

67 :精神上的缺陷没有一种是不能由相当的学问来补救的，就如同肉体上各种的病患都有适当的运动来治疗似的。 ​​​

68 :放下已经走远的人与事，放下早已尘封的是与非 ​​​

69 :马拉独轮车——就翻就翻 ​​​

70 :付出、不在于是否有价值，而在于兴趣所在。 ​​​

