爱的游戏H2 女/四川         加关注



我这一生，最爱的就是读书。我一天不读书，就不能生活。 ​​​

1 :絶望的時侯抬頭看着希望的光芒其實一直存在。 ​​​

2 :生活没有过去，也没有曾经，不管什么事只要过去了，就会慢慢忘掉。 ​​​

3 :世界上总有一个他，无条件对你好。 ​​​

4 :胡同里演戏——口上热闹 ​​​

5 :一个人过的充实有目标有动力的时候，真的不会去想单不单身的问题，有也行，没有也行。 ​​​

6 :外面的烟花奋力的燃着，屋里的人激情的说着情话…… ​​​

7 :白纸上画黑道——抹不掉；明摆着；猜清楚楚；一清 ​​​

8 :连翻书的时候看到跟你生日相同数字的页码都能想起你。 ​​​

9 :想我了就来找我不要死撑你知道我的脾气你一开口我就低头 ​​​

10 :新闻是庶民的教授。 ​​​

11 :爱自己的最好方式就是努力奋斗让自己优秀起来 ​​​

12 :刚放假时老妈对我特好，但现在她天天这样骂我。。。 ​​​

13 :人之学问，知能成就，犹骨象玉石，切磋琢磨也。 ​​​

14 :找不到答案的时候，就独自出去看一看这个世界。 ​​​

15 :真正高明的人，就是能够借重别人的智慧，来使自己不受蒙蔽的人。 ​​​

16 :[路是自己选的,后悔的话,也只能往自己的肚子里咽。] ​​​

17 :谬误越大，真理取得的胜利也就越大。 ​​​

18 :一位婆婆和邻居说：我那个媳妇好吃懒做，睡到中午，家事也没做，东西还让我儿子拿到房间给她吃，真是太过份了。邻居又问她：你女儿嫁的还不错吧？婆婆说：对啊，过的很幸福呢，大家都对她很好，也不用做家事，假日都到处去玩，也可以睡到中午，女婿还会煮东西送到房间。 ​​​

19 :男人，女人，请大家都好好珍惜自己的爱情。 ​​​

20 :流星，注定一闪而逝；浮萍，总是随波逐流；白云，只能在天空漂泊流浪。真实的世界不是一部温婉的童话，或许这些往事会化成最美的那朵云，停泊在记忆里，得到和失去会在这同一源头回响。 ​​​

21 :再坚强一点，你会不会是我的。 ​​​

22 :日久不一定生情，但必定见人心。有时候也怕，时间会说出真话。 ​​​

23 :爱情使人忘记时间，而时间也使人忘记爱情。 ​​​

24 :我深知你是我梦，却咬牙不放手。 ​​​

25 :古之君子如抱美玉而深藏不市，后之人则以石为玉而又炫之也。——朱熹 ​​​

26 :衰仔，想死啊？竟然放我飞机！！ ​​​

27 :你或许会因为一道似曾相识的风景、一种触动心灵的相似的容颜想起他，想起他的智慧。你更会因为午夜的星空、遥远的月亮想起他，想起他曾经带给你的欢乐，想起他带给你的无眠的美好 ​​​

28 :亲爱的、我愿就这样和你们一起傻下去。 ​​​

29 :背油桶救人——惹火烧身；引火烧身 ​​​

30 :微笑只是我的习惯。而习惯是一种可怕的东西。 ​​​

31 :月到中秋，分外想你。看到哪团中圆圆的月亮吗？哪就是我想你念你牵挂你的心！爱你吻你！晚安！ ​​​

32 :我拿余生与你举案齐眉请别让我皱眉也请不要让我心如死灰. ​​​

33 :江河发大水——一浪高一浪；后浪推前浪 ​​​

34 :花心萝卜充人参——冒牌货 ​​​

