千层me义枝偌 男/其他         加关注



离开多么可畏，我放你走怎样？ ​​​

1 :人类的工作在于不扰乱自己的秩序，这与斧头必须经常磨得光光的道理雷同。 ​​​

2 :你的秀发被风牵引着. ​​​

3 :这么多年了我也不瞒你了，其实我是来拯救世界的。 ​​​

4 :【蔷薇少女】真红 Cosplay。 ​​​

5 :脸皮没有三尺厚，千万不要追金牛、摩羯还有处女。他们气人的时候都一套一套的，说话那叫一伤人，六亲不认的那种。事后冷战也从来不哄人，坚决不低头，任你自生自灭。可是虽说这样，但你能想到他们的心都软的跟浆糊似的，有时候话一出口，心里转眼就后悔了，但是也得傻挺着。 ​​​

6 :【水岛努xP.A.WORKS新番动画「白箱」C86先行预告PV公开】由水岛努联手动画制作公司P.A.WORKS制作的原创TV动画「SHIROBAKO」（暂译：白箱），在C86上动画公开了首弹预告PV，同时动画的声优以及详细的制作整容也得到确认，制作阵容基本是黄金组合，而声优则是新晋新人满载。 ​​​

7 :宽容，再宽容，你会温文尔雅。做一个低调的人，不需言语，别人也能看见你的美丽。低调做人，淡定从容，儒雅而智慧，是忍耐与韧性的结合和有风骨的德行。低调，是生命的智慧和性情的超脱。 ​​​

8 :【女人不成熟的标志】成熟定义为务实的价值观念，积极的人生态度，稳重的生活方式，不妨来对照以下十条，看看你是否是一个成熟的女人还是那么不成熟：举止轻佻；爱慕虚荣；爱情幻想；冲动消费；乱发脾气；张弛无度；心胸狭隘；任性自我；年长无知；10屡教不改。 ​​​

9 :我想在五十年之后我一定还是像现在一样爱你。 ​​​

10 :最好的报复不是毁掉对方，更不是毁掉自己，而是要过的比他幸福和快乐。 ​​​

11 :想知道你的消息安静de等待 ​​​

12 :真正痛苦的人却在笑脸的背后流着别人无法知道的眼泪，生活中我们笑得比谁都开心，可是当所有的人潮散去的时候，我们比谁都落寂很多人，因为寂寞而错爱了一人，但更多的人，因为错爱一人，而寂寞一生。 ​​​

13 :【瘦脸针致左右脸不对称】很多整形医生由于经验不足或者判断失误等原因，导致左右脸注射瘦脸针的剂量不一样，脸部注射瘦脸针剂量不同，呈现出来的效果也是不一样的，因此这就是很多妹纸出现左右脸不对称的现象。 ​​​

14 :【耳后】耳朵的肌肤十分薄弱，所以很容易晒伤，特别是短发和绑辫子的MM们就更要注意了，由于耳朵会暴露在外面，很容易跟紫外线接触，不仅晒黑不好看，而且很容易受伤哦。 ​​​

15 :我要结婚了，来参加我的婚礼吧。用手机打开QQ邮箱，是他分手多年的女友给他发来的邮件。当初青春以为她是新娘的唯一选择，可是现在呢？他心里暗叹时光的魔力，但也无可挣扎。他咬了咬牙答应了她。婚礼现场他一直远远躲到远处，一会，一个酷似他的小孩跑来：妈妈说没你婚礼没法进行。 ​​​

16 :他喜欢她，但是她感觉不到他给的安全感。他的现任女友加了她，他和她吵了起来，她很生气，只是她不喜欢被人玩弄的感觉。后来她道歉了，却也回不去曾经的友情了。 ​​​

17 :2、将柠檬汁搅汁，加糖水适量饮用。柠檬中含有大量维生素C、钙、磷、铁等。常饮柠檬汁不仅可美白肌肤，还能使黑色素沉淀，达到祛斑的作用。 ​​​

