_冯小姐焙 女/海外         加关注

人的智慧掌握着三把钥匙：一把开启教学，一把开启字母，一把开...

孔雀遇凤凰——比不上 ​​​

1 :谈恋爱害了多少好学生 ​​​

2 :小学上课费嘴，初中上课费笔，高中上课费脑，大学上课费流量。 ​​​

3 :男人对小三说：我可以为你去死，但是我要为了我老婆好好的活着。 ​​​

4 :世界太大还是遇见你，世界太小还是丢了你。 ​​​

5 :你那么爱他为什么不把他留下。 ​​​

6 :是风雨同舟、勇往直前的象征，更是书以感情生活绝非党员化典范。 ​​​

7 :爱吃的人运气不会太差，要我说，运气差的人哪有心思去爱吃。 ​​​

8 :罗浮山下梅花村,玉雪为骨冰为魂∥ ​​​

9 :棺材里伸手——死要钱；死不要脸 ​​​

10 :再熟悉的人也会变得陌生，再陌生的人也会有熟悉的一天 ​​​

11 :有种骨气叫做无聊到死都不会写作业。。。 ​​​

12 :◇◆ヽ笑出来的就是阳光。っ ​​​

13 :少壮轻年月，迟暮惜光辉。 ​​​

14 :不是我爱熬夜而是黑夜需要我这颗璀璨的星. ​​​

15 :当一个朋友突然冷落你那绝对不是你做错了什么是别人在背后说了你什么 ​​​

16 :依稀记得你当年的模样，流着大鼻涕还管我要糖。 ​​​

17 :我特别困的时候，道德标准也没有醒，老师们要小心了 ​​​

18 :风中鹅毛——无影无踪 ​​​

19 :知识是人生旅途中的资粮。 ​​​

20 :糖就是我的生活。它甜的时候生活很幸福。它不甜的时候生活好累。 ​​​

21 :角声满天秋色里，塞上燕脂凝夜紫。 ​​​

22 :大多数人想要改造这个天下，但却罕见人想改造自己。 ​​​

23 :别给我说抱歉，因为我没把握跟你说没关系。 ​​​

24 :先对你表白的人很有可能也是先对你说拜拜的人。 ​​​

25 :属张飞的——粗中有细 ​​​

26 :再痛再苦不要放在心上. ​​​

27 :最近压力大，运气不佳的12星座：冠军（金牛座）、亚军（射手座）、季军（水瓶座）、第四名（天蝎座）、第五名（处女座）、第六名（双鱼座）、第七名（摩羯座）、第八名（狮子座）、第九名（双子座）、第十名（白羊座）、第十一名（天秤座）、第十二名（巨蟹座） ​​​

28 :爱着的时候都是最爱.想念的时候都是最想 ​​​

29 :艺术之都的太阳 ​​​

30 :男朋友是什么可以吃吗 ​​​

31 :生命如铁钻，愈被敲打，愈能发出火花。 ​​​

32 :我和你的前女友比怎么样？很明显，这是逼他拿他以前的女友跟你作比较，虽然女人想得到老公的肯定，比如“宝贝儿，你当然比她强多了”但事实上，这句话会勾起他以往的一些美好回忆。 ​​​

33 :所谓爱情，不过是在寂寞的时候扯了把美丽的犊子。 ​​​

34 :我不相信这个世界只有坏事，只有悲剧。人更多的应该是想如何活得更开心，没有谁有下辈子，即使有也是一个全新的你，上个你发生的所有事你都不会记得。所以应该是，能开心一天是一天。 ​​​

35 :见面后，母亲离开了。 ​​​

36 :30、恋爱不是慈善事业，不能随便施舍的。感情是没有公式，没有原则，没有道理可循的。可是人们至死都还在执著与追求。 ​​​

37 :她们最终还是分手了。因为她说累了没有信心了。她自责没有让她快乐。所以答应分手。她说她会担心，她让她照顾好自己。她难过的不能自已。以为她还是关心自己的。却不知道她们的分开原来是由别人决定的。分手的结果原来是她的姐妹不想让她再耽误她投票决定分手的。 ​​​

38 :用刀刻画最幸福的风格，用手指写下最幸福的情书，用手捧起最幸福的感情。 ​​​

39 :对于有信仰的人，死是永生之门。（弥尔顿《失乐园》） ​​​

40 :喜欢在你身上留下属于我的印记，却不曾记起你从未属于过我……如果有一天，不再喜欢你了，我的生活会不会又像从前那样堕落，颓废…我不想再要那样的生活，所以，请你一定不能离开我。 ​​​

41 :你歪着头，看着我，微笑了。 ​​​

42 :╮俄就是这样任性，迩爱要不要 ​​​

43 :时间是人类发展的空间。 ​​​

44 :在这个社会只有“有福同享有难不当” ​​​

