阿司匹林zllu_gaj 男/安徽         加关注



有句话一直想对你说，可你知道它的分量，一旦说出，可能咱连朋友都没法做了，但我控制不住感情……啥时候请我吃饭 ​​​

1 :鲤鱼跳船上——不劳（捞）而获 ​​​

2 :关于你的一切在我的记忆中慢慢凋零。残余颜色，亦终有褪尽之日。我要从这场游戏中抽身而退，尽管会很难很苦。这场游戏就像旅行，彼此都是走走停停。延途风景依然，天空湛蓝。只是找错了人来欣赏陪伴。 ​​​

3 :季节搁浅了一段又一段的思念，仿佛流走的时光里葱笼的只是淡淡的回忆，清清浅浅的只是淡淡想念，我于红尘中寂静了你的想念，只是不知婉约了谁的心事，葱笼谁的回忆。 ​​​

4 :学校就像妓院给钱了才能上 ​​​

5 :看来你今天心情不错呀~回家查查话费吧. ​​​

6 :卖沙锅的摔跤——砸锅 ​​​

7 :间腐蚀了原本很美好的东西 ​​​

8 :我是个傻子，不懂放弃你；你也是个傻子，不懂珍惜我。 ​​​

9 :以后不要在我面前说英文，OK？ ​​​

10 :时难得而易失。 ​​​

11 :有时候需要换个位思考，把愁眉苦脸换成微笑。 ​​​

12 :喜欢一个人，就是在一起很开心；爱一个人，就是即使不开心，也想在一起。 ​​​

13 :后来感情寥寥无几大风将各自卷至南北东西 ​​​

14 :像你这种人，在连续剧里，最多只能活集。 ​​​

15 :设计师解读：与客餐厅相对的墙面，有一整面墙被用来打造了到顶餐边柜，同样是嵌入墙壁的设计，节省空间又增加了收纳与展示空间，一举多得。 ​​​

16 :一生姐妹一起走，谁先背叛谁是狗！ ​​​

17 :大象嘴里拔牙——胆子不小；胆子大；难办；好大胆；好大的胆子 ​​​

18 :空空留遗憾，多难堪又为难，释然，慵懒，尽欢，时间风干后你与我再无关。 ​​​

19 :撅着屁股看天——有眼无珠 ​​​

20 :#笑自己舍不得、那些记忆。呵呵. ​​​

21 :结婚，如果连婚前的生活水准都保不住，还不如别结了！ ​​​

22 :征服世界，并不伟大，一个人能征服自己，才是世界上最伟大的人。 ​​​

23 :思念就像巧克力，苦苦的，甜甜的……不敢想你，怕会想你：不敢说想你，怕更想你……其实，我真的真的好想你！ ​​​

24 :我很想在你面前流泪最后却还是选择装作打个哈欠。 ​​​

25 :生活总会给你答案的，但不会马上把一切都告诉你。只要你肯等一等，生活的美好，总在你不经意的时候，盛装莅临。 ​​​

26 :随所住处恒安乐 ​​​

27 :#我只要我们在一起##迟帅#从《金粉世家》的柳春江和小怜，到《我只要我们在一起》的沈括与秦素，十二年过去，有情人是否最终“在一起”。2月13日，由你见证。 ​​​

28 :割韭菜不用镰刀——胡扯 ​​​

29 :在千万人中寻找，自从见了这双眸子，其他所有的眼睛，都暗淡了光彩！ ​​​

30 :有些人注定是过客，即使在爱，也只是过客 ​​​

31 :十三陵的石人——站惯了的 ​​​

32 :前面的路还很远，有些事情也就不要拆穿。永远都是不要去评价别人是否幸福，即使是那个人看起来孤独无助。幸福如人饮水，冷暖自知。 ​​​

33 :删掉的是回忆，只是回忆还留在心里。 ​​​

34 :我已经淡忘了眼泪,我想我一定也会忘记你 ​​​

