史上第一最最最劲_霏 女/海外         加关注

灾祸和幸福，像没有预料到的客人那样来来去去。它们的规律，轨...

你刚好成熟我刚好温柔最好的年纪遇到最对的人才是最美的童话。 ​​​

1 :每个学期嘴里都说着：减肥，减肥！结果。。。越减越肥。。。 ​​​

2 :拿着棒挞当萝卜——不识货 ​​​

3 :在你离开的那一刻已开始想你 ​​​

4 :一个惊艳了时光，一个温柔了岁月，爱得深爱得早，都不如爱得刚刚好。 ​​​

5 :三人行，必有我师焉：择其善者而从之，其不善者而改之。 ​​​

6 :幻想着，每天和你在一起，这样就足够了。 ​​​

7 :天空飘来七个字儿，中考那都不是事儿 ​​​

8 :人需要的是一个可以包容自己，在自己累的时候，给自己支撑的男人，而不是一个什么都不做的男人。嫁给你不是嫁给幸福，而是苦难。男人可以没钱，但是你不能没有事业。 ​​​

9 :孩子睡得真香，肯定是粑粑带孩子出来的。。。 ​​​

10 :原来同性恋才是王道！ ​​​

11 :握笔著述，是一种祈祷。 ​​​

12 :路还那么长少一些人却也无妨. ​​​

13 :丶★我旳天真在泪水里沉沦 ​​​

14 :叫花子丢拐棍——受狗欺 ​​​

15 :智慧是无穷的，它前进得越远，也就越为人们所需要。 ​​​

16 :车来车往，寂寞像一瓶幽蓝的香水，在低空蔓延。 ​​​

17 :有一种感情叫无缘，有一种放弃叫成全。 ​​​

18 :你可不可以看着我的眼，就当是我的奢望。 ​​​

19 :任性是女人的天分，不时的希望你也能拥簇下。 ​​​

20 :锲而不舍，金石可镂。（荀子劝学） ​​​

21 :中秋了！你何时回家,这里的我在等着你,等你看月儿升起。 ​​​

22 :再愚笨的男人，都会让热恋的女人迷失方向，全心付出，而再聪明的女人，即便是如何的千娇百媚，迷惑的都只是男人的眼睛，却难以深入他的灵魂。坚守好自己的爱情，那是你的灵魂。 ​​​

23 :大家都到齐了吗？没到的请举一下手！ ​​​

24 :不经过九九八十一难就取不到真经，不经过磨难的爱情就不是真正的爱情。 ​​​

25 :时间几乎会愈合所有事情，请给时间一点时间。 ​​​

26 :曾被你伤害的体无完肤的心已经不再了 ​​​

27 :切着洋葱、拼命挤着那不存在的泪。 ​​​

28 :吕布戏貂婢——上当受骗；英雄难过美人关 ​​​

29 :抛开所有过往绝口不提现在我一个人至少干净洒脱 ​​​

30 :突然之间觉得其实我什么都没有拥有所有的一切我都想舍弃。 ​​​

31 :土积而成山阜，水积而成江海，行积而成君子。 ​​​

32 :不要让你的梦想是梦和想！ ​​​

33 :认识我的人不多，记得我的人不多，明白我的人不多，我何必要对着每个人笑 ​​​

34 :人，穷时简单，富了复杂。 ​​​

35 :我不信命，我只信双手去打。 ​​​

36 :你若喜欢平稳，我放弃十年戎马江山跟你回家。 ​​​

37 :许多人忘记了，男人喜欢的是追求期的她，而不是改变了的她，同时这亦正中男人对女人减少爱意的死穴。女人为自己竟连自我也失去，男人不会感动，而是觉得缺乏挑战，于是英雄感开始作祟，倾心于具挑战性、难于驾驭的女人。 ​​​

38 :处处热心的人生，是达到事事满意的人生中间的一座桥梁。 ​​​

39 :钢丝绳穿针——难通过；通不过 ​​​

40 :我们相距千里 ​​​

41 :志于道，据于德，依于仁，游于艺。 ​​​

42 :一无所有就是拼搏的理由。 ​​​

43 :我觉得你很乖耶——穿得俗不拉基的，一看就知道跟你出去不好玩。 ​​​

44 :淫欲和贪梦是一样的，得到了财宝反而更加渴望财宝。 ​​​

45 :猴子偷黄连——自讨苦吃；自找苦吃 ​​​

46 :谈话不可过于大胆，亦不可矢于谨慎。 ​​​

47 :他的痛苦不仅在于失去了一个自己深爱的女人，还在于失掉了生活的拐棍，“我必须承认，是她给了我太多的温暖与支撑，我习惯了，我只会，我也必须爱一个女人，守着一个女人，永远通连着一个这样的人。我完全没有可能独自生活下去。” ​​​

48 :如果有一天你出事了，请一定叫上我，我不会扣字不能给你挡刀，但我可以出来帅死对方。 ​​​

49 :我对你的思念，飘过来又飘过去，最终还是落在我的手掌上。绚丽如霓霞，哀怨如晨雾。我看得清你，你看得清我，我们在同一地平线，做着不同的梦，我的梦白如花朵，你的梦红如晚霞。 ​​​

50 :不要担心嫁不出去，更不要因为年纪大了草率结婚，担心嫁不出去总比担心老公出轨要离婚，小三抢财产要好，担心嫁不出去只是担心而已，心情好了还照样过原来的日子，老公真要离婚那才是真的麻烦。 ​​​

51 :我正在思念你。 ​​​

52 :把言论变成行动要比把行动变成言论困难得多。 ​​​

53 :我老婆美嘛萌嘛体贴嘛不好意思。她是我的！ ​​​

54 :喜欢一个人算是什么啊，喜欢别人的心情根本是一无所有，只有痛苦加憎恨罢了。 ​​​

55 :处对象就像尿尿，一上火就黄了。 ​​​

56 :从你说爱我以后，我的天空，星星都亮了。 ​​​

57 :胆小鬼的眼睛——见啥怕啥 ​​​

58 :【芒果鸡粒】1.鸡腿切稍微大一点的丁，用生抽和料酒腌制;2.芒果切成大丁，红椒和青椒切滚刀块;3.锅里放油，爆香青椒红椒块儿，起锅备用;4.再放一点油，放入腌好的鸡腿块儿，大火炒到表面有点焦黄;5.下入芒果，拌匀，再下入青红椒，放盐调味出锅。 ​​​

59 :【博世拟斥6060万美元在韩国扩产燃油直喷产品】博世集团旗下韩国子公司日前宣布，计划斥资620亿韩元（约合6,060万美元）拓展当地的业务。据报道，此次投入的资金将主要用于博世韩国公司位于大田市（Daejeon）的工厂，并扩充柴油直喷及汽油直喷产品的产量。 ​​​

60 :真正的人生快乐就是投身于你心目中的伟大事业，就是成为一股自然的力量，不要做狂躁不安、 ​​​

61 :无论如何，你是我此生此世最爱的女孩！ ​​​

62 :人若枯死在希望面前，那是多大的折磨？于是渐渐学会了虽然想要却也要降低期望，学着云淡风轻的潇洒和不执着，至少表面上是如此，慢慢也许就真的能做到。世事不都是这样吗？能有，很好；没有，就是没有，说不定以后会有更好的，此刻所有的伤感和强求都是不必要的。 ​​​

63 :【巨型螳螂椅子】是一个椅子，也是一个雕塑，在很大程度上牺牲了舒适度，但是无法不说，它确实是任何房间中的一个焦点。 ​​​

64 :指缝间的阳光灿烂了我的忧伤。 ​​​

65 :除了我你别无选择！因为再也没有人会比我更爱你了！ ​​​

66 :因为你，我相信命运；因为你，我相信缘份；也许这一切都是上天注定，冥冥之中牵引着我俩。好想说……我上辈子是做了什么孽呀 ​​​

67 :【心理提醒】发生在个人生命中的所有事件皆有意义，都是上天特别的安排，只是看我们有没有足够的勇气，去发现那份属于我们独一无二的可能，又或者，我们是否有足够的智慧，去理解这份安排好要教导我们的教训。一个能把每个当下过好的人，就不会后悔。 ​​​

68 :人的智慧就是快乐的源泉（薄伽丘） ​​​

