相思_M 男/天津         加关注



如此估算？ ​​​

1 :很多公司拼命的教员工方法，而不是激发他们的内在动力。 ​​​

2 :人生最不缺的就是替代者 ​​​

3 :李世民捏窝窝头——御驾亲征（蒸） ​​​

4 :我是真的爱你永远的永恒的 ​​​

5 :时间是治疗心灵创伤的大师，但绝不是解决问题的高手。 ​​​

6 :如果说一场花开只待一场无言的邂逅，那么你我的相遇却是这人海间的擦肩而过之后的最美。有些人，离开了，回来了，可是这份缘份却没有在人山人海中走失。我说你我之间的相遇是一行文字，一段故事，一念情意。 ​​​

7 :主卧采用灰色的涂料粉刷背景墙设计，增强了空间的连贯性和和谐质感，干净利落的空间布局让卧室充满简欧风格的简单、舒适。 ​​​

8 :两次约会不亲吻是害羞，三次不打啵就是同志。 ​​​

9 :两人在一起，不要去想对方爱不爱你，因为爱是经不起想的，你想得越多，伤就会越痛。有一天你会发现，原来爱情真没那么重要。这一路上你会受到伤害，有一些爱，也是会成为隐隐作痛的回忆。 ​​​

10 :原来我们的相遇只是为了一场无人观的离别。 ​​​

11 :喝海水长大的——见过风浪 ​​​

12 :三个钱买个牛肚子——尽吵（草） ​​​

13 :要么好好活着，要么赶紧去死！ ​​​

14 :想你 ​​​

15 :落锅的虾子——红透了 ​​​

16 :放下心中的雨伞，彻彻底底的伤透。 ​​​

17 :别说你还爱我，我已经没有感情再去挥霍 ​​​

18 :作为一个年轻的管理者，我当初在录用员工时，只是面试一次.结果就可想而知。我的公司成了一扇“旋转门”,员工来了就走，甚至是刚来一两天就离开。这种持续的人员流动导致公司一片混乱。 ​​​

19 :谢娜张杰愿你们一直幸福下去，替好多好多人幸福下去。 ​​​

20 :新生军训，连长训话：一班杀鸡，二班偷蛋，我来做稀饭，明白了吗？”原来是：一班射击，二班投弹，我来作示范。 ​​​

21 :予你情诗三行愿你无忧无虑无彷徨。 ​​​

22 :幸福曾找过我，我却最终与他擦身而过。 ​​​

23 :世界上最幸福的事，莫过于有个人总是喜欢逗你开心 ​​​

24 :承诺，有时候，是一个骗子对一个傻子说的。 ​​​

25 :人总因喜欢苹果而放弃了手中拥有的桔子，可后来发觉原来苹果也不过如此，还不如桔子好吃，于是把责怪都加在苹果身上，后悔自己的选择。 ​​​

26 :你掌心的温度不高，却足以温暖我。 ​​​

27 :长沟流月去无声，杏花疏影里，吹笛到天明。 ​​​

28 :人生就像一个大舞台，每个人都有自己所要扮演的角色。至于要表演甚么角色，自己去决定。 ​​​

29 :小明：爸爸，古时候，皇帝自称寡人，那皇后该自称什么？父亲：傻孩子，那皇后当然称寡妇啦！ ​​​

30 :因为只有你要我 ​​​

31 :走过岁月的波澜与沧桑，那些沉甸甸的时光，我吻着你纯洁的唇，我把我的脸埋在你蜜似得头发里，我把我滚热的眼皮放在你柔和的手掌里，曾经牵着的手说好了不再放弃，每一次当我问你时，都从你那缄默的嘴角看到了笑容，它们清新、湿润宛如上天洒向尘世的一场宣人的夜露。 ​​​

32 :没底的棺材——成（盛）不了人 ​​​

33 :智慧的标志是审早度势之后再择机行事（荷马） ​​​

