M_K5 男/西藏         加关注



就该在最好年[左哼哼]纪过自己想要的生活。 ​​​

1 :生活充满着辩证法：工作忙说明你还没有失业，竞争失败[闭嘴]说明你雄心犹存，恋爱失意说明你还在追求，误入歧途说明你还在奔走。 ​​​

2 :我们不得不长大长大，成长的现实告诉我年少时的想法是如此的可笑。不管你多大年龄，过去发生了什么，错过了什么，失去了什么[挖鼻]，做错了什么，只要你不放弃，坚持不断的探索和行动，就会有路，就会找到一条属于自己的路！ ​​​

3 :拿得手，抓得髻[笑cry]——证据确凿 ​​​

4 :有些事，不用你说出来，我已经知道了，只是不忍心拆穿你的谎[闭嘴]言罢了。 ​​​

5 :大多数人都相信[爱你]，眼下大概就是他们人生中最糟糕的时期了，再也不会比现在更糟了，而事实也常常告诉我们：你再不去改变，比现在更糟的还在后头呢。 ​​​

6 :吃货都是善良的，因为每天只[亲亲]想着吃，没时间去算计别人。 ​​​

7 :我的爱人在我没爱到你死之前请不要[哈欠]离开我 ​​​

8 :青春并不像一袭新衣，好像我们仔细少穿一点就可以保持簇新似的。青春，当我们有它的时候我们一定要每天穿用它，而它则很快就会消逝。青春，需要为之振奋，为之倾注出自已的[蛋糕]全部热血。 ​​​

9 :力量从团结来，智[嘻嘻]慧从劳动来，行动从思想来，荣誉从集体来。 ​​​

10 :我曾经委屈求全像条狗而你却没[抱抱]有扔掉骄傲跟我走 ​​​

11 :泪水哽咽在胸口，太多太[舔屏]多，不知如何诉说，最后，只能选择成默。 ​​​

12 :我们学[来]习不只是在学校里，也在生活上。 ​​​

13 :安全感就是：我心甘情愿地全心信任你，同时你[笑cry]毫无保留忠诚地珍惜我的信任。 ​​​

14 :你听竖起你的[生病]大耳朵听好了！ ​​​

15 :抬头仰望天空，灰暗依然布满了天宇，倾刻[可爱]间，感到了一种莫名的压抑。不能摆脱回忆的纠缠，一如喝咖啡般，明知那是苦涩的，任我如何的加糖，可终也无法改变它是苦的事实。或许我对苦这种滋味已经上瘾了吧！ ​​​

16 :而且越来越深[兔子]沉的打动。 ​​​

17 :人间岁月堂堂去，劝君快上青云路。圣处[钱]一灯传，工夫萤雪边。 ​​​

18 :幸福只不过是一个谎[亲亲]言，伤痛始终暗藏在心里 ​​​

19 :大海里捕鱼，深山里打猎[蜡烛]——各吃一方 ​​​

20 :艺术不在于检查存在的现实[猪头]，而在追求理想的真实。 ​​​

21 :成绩单你敢不敢不[威武]把我在你心里的地位排那么低。 ​​​

22 :错过也许就这一秒，幸福也许在[可怜]下一秒。 ​​​

23 :将军返乡——解[哼]甲归田 ​​​

24 :如果你不爱一个人，请放手，好让别人有机会爱她。如果你爱的人放弃了你，请放开自己，好让自己有机会爱别人。有的东西你再喜欢也不会属於你的，有的东西你再留恋也注定要放弃的，爱是人生中一首永远也唱不完的歌。人一生中也许会经历许多种爱，但千万别让爱成为一种伤害。 ​​​

25 :舒服他娘哭半夜——舒服死啦 ​​​

26 :鱼沈雁杳天涯路，始信人间别离苦。－戴叔伦《相思曲》 ​​​

27 :因为怕失去就宁愿不拥有不拥有就不会失去 ​​​

