一二一LP 男/山西         加关注



对于世界而言，你是一个人；但是对于某个人，你是他的整个世界。 ​​​

1 :如果，你不能给她一个美好的未来，那么，请不要把她哄上床。不能做到的，也就不要承诺。男人，膝下有黄金，嘴里也有黄金，不要轻易答应什么，因为你可能会食言。 ​​​

2 :余生太长不惧散场不甘平庸何必独钟 ​​​

3 :世间多少事，庸人自扰之。 ​​​

4 :上学的时候总想玩电脑，放假了只能对着电脑发呆.. ​​​

5 :周末大好时光求牵走出去玩！！ ​​​

6 :喝醉了才知道你最爱谁，生病了才知道谁最爱你。 ​​​

7 :每天都在纠结着三件事晚上睡不着早上起不来后悔昨天睡太晚 ​​​

8 :不再沉寂的活着，我要重启我的骄傲。 ​​​

9 :生气踢石头——痛的是自己的脚 ​​​

10 :我在北方的寒夜里四季如春。 ​​​

11 :通常遇事了才发现这几年真心都给了狗别拿你那肤浅的借口来敷衍我我嫌恶心最后你可以滚了. ​​​

12 :年轻的情怀，喜欢一个人,爱一朵花，其实并没有错，在我们长大过程中；只要爱过，喜欢过就是美丽的。 ​​​

13 :我一直都知道，山是水的故事，风是云的故事，但直到现在才知道，你是我的故事。 ​​​

14 :流光容易把人抛下，任誓言在风间流走。 ​​​

15 :你若婚纱及地，我定短裙相依。 ​​​

16 :原谅我太贪心，总是想留住身边每个对我好的人，最后才发现有些人我无论怎样也留不住。 ​​​

17 :一位著名的牧师做完见证后，说：“诸位兄弟姐妹，你们对于信心还有什么怀疑之处吗？”一名学生举手问道：“为什么我们教堂顶上要装避雷针呢？” ​​​

18 :你不是我，怎能了解我的荒谬。 ​​​

19 :你怎会知道我在梦里含着泪喃喃自语念你名字 ​​​

20 :爱是妒忌爱是怀疑爱是种近乎幻想的真理。 ​​​

21 :恋爱有建立信心的必要，友情有建立观察的必要。 ​​​

22 :八月的苦瓜——心里红 ​​​

23 :风光的背后，不是沧桑，就是肮脏。 ​​​

24 :我们在错误的时间相遇，在正确的时间却又分开…… ​​​

25 :风光的背后，不是沧桑，就是肮脏。 ​​​

26 :如果有一天我变成了流氓，请记得告诉别人，我曾纯真过。 ​​​

27 :双鱼座的孩子超级爱忘事，并不是脑子不好，只是单纯不记事；喜欢乱想，然后黯然神伤；心太软，太容易感动；直脾气，有什么说什么，常常口无遮拦；很固执，不懂得放弃；典型的外冷内热，对陌生人文静的要命，对好友却闹起来像个男孩子。 ​​​

28 :刺猬有锋利的刺就不能软弱吗,兔子因为眼红就不能坚强吗 ​​​

29 :“只是朋友而已。”他笑着说。后来他跟那个所谓的朋友在一起了。她难过，“你不是说她只是朋友么。朋友的关系也可以升级到女朋友，但为什么那个人不是我。” ​​​

30 :若是女人把自己的身心全部倾注于男友身上，她就不得不为芝麻绿豆大的破事儿争得你死我活，渐渐地，女人的胸襟一天天变小，开始为一点点委屈伤心落泪，为一点点私利歇斯底里。 ​​​

31 :枯藤长出枝桠，原来时光已翩然轻擦。 ​​​

32 :上岸的鱼虾——干蹦干跳 ​​​

33 :马谡用兵——言过其实 ​​​

34 :北京爱情故事林夏对疯子说:我爱你跟你没关系, ​​​

