zhujianbo芹察健 男/河南         加关注



锅台上的油渣——练（炼）出来的 ​​​

1 :有时候，坚强只有在特殊情况下才会炼成。 ​​​

2 :我的愛壹天壹點茬妳的世界裏擱淺，我巳明白愛清有哆危險 ​​​

3 :明明热爱，却知条件不足，于是从不表白。当收入够不够高、是不是有房有车、是不是名牌大学毕业成为择偶标准，当我们的爱情要如数学题般满足条件才可以成立，终于让爱情由一种行为变成了一种意淫。 ​​​

4 :成功者不是比你聪明，只是在最短的时间采取最大的行动。 ​​​

5 :没有方法能使时钏为我敲已过去了的钟点。 ​​​

6 :你说，爱我是件幸福的事，那么，亲爱的，你为什么把你的幸福丢掉？ ​​​

7 :培训那是一种有组织的知识传递、技能传递、标准传递、信息传递、管理训诫行为，它是为了达到统一的科学技术规范、标准化作业，通过目标规划设定、知识和信息传递、技能熟练演练、作业达成的评测。 ​​​

8 :爱情就像两个拉橡皮筋的人，受伤的总是不愿放手的那一个！ ​​​

9 :你如果要做一个艺术家，你要牢记：必须开拓你的胸襟，务使心如明镜，能够照见一切事物，一切色彩！ ​​​

10 :遇诡诈人，变幻百端，以至诚待之，彼术自穷。 ​​​

11 :你问："爱情里最诗意的谎言是否就是最浪漫的爱情？当一个男人深深爱着一个女人，他就是她的小羔羊？"爱情里是无所谓最诗意的谎言，也许只有最美丽、最残忍和最可恨的...... ​​​

12 :生活，一半是水，平静出奇；一半是浪，波涛汹涌。 ​​​

13 :爱就像风筝断了线，拉不住你许下旳诺言。 ​​​

14 :在那茫茫人海中，遇见一个人要一秒钟的时间，认识一个人要一分钟的时间，喜欢一个人要一小时的时间，爱上一个人要一天的时间，忘记一个人却要用一辈子的时间。 ​​​

15 :女人的好,只有懂她的男人才配知道。 ​​​

16 :也许放手是对我们最好的结果，因为到现在我都没有后悔过。 ​​​

17 :失恋的女生们，坚强起来，嗨起来，霸气起来，忍着心痛告诉他，我不爱你了，别特么的一而再再而三的犯贱！ ​​​

18 :人性最大的悲哀，是走不出心灵的迷茫。 ​​​

19 :别捅我一刀又为我安慰擦药我受不了. ​​​

20 :“爱或不爱，给我一个字的回答”“不爱”“你数学不好吗，重来” ​​​

21 :唱歌不看曲本——离了谱 ​​​

22 :当务之急是改变旧的凭资历的人事制度。 ​​​

23 :你有一个好朋友，叫做自己。。。 ​​​

24 :恋爱的指向是婚姻，可恋爱和婚姻之间，却又并不是一个顺接关系，恋爱不讲实际，婚姻则多少要讲求实际，恋爱的浪漫与婚姻的现实，对接起来，难免会有痛苦。 ​​​

25 :都说女人如水所以我学会了游泳。 ​​​

26 :她说我喜欢你的那天起，她就爱上了她。 ​​​

27 :一个货真价实的帅哥是不畏惧褴褛的衣衫和满是破洞的鞋的 ​​​

28 :你知道我时间多宝贵么？我派人带上我的证件不行吗？银行就这样的人性化？你们说把。要什么证件能证明我本人不用来。我都可能搞到。估计大堂经理很窝火…冷冷的说…………死亡证明…我顺间笑喷… ​​​

29 :我们还没有创造更多的记忆，又怎能离去？ ​​​

30 :最丑的时候遇到的是真心爱人，最穷的时候遇到的是真心朋友。 ​​​

