陳潤韜Toto冷 女/北京         加关注

最高贵的复仇是宽容。

蚂蚁下塘——不知深浅 ​​​

1 :无论怎样的不愉快都随之烟消云散。 ​​​

2 :比赛场上的运动员——争先恐后 ​​​

3 :56.会有一点点失落，这世界有那么多人，总擦肩而过…… ​​​

4 :小牛撅尾巴——来劲了；上劲 ​​​

5 :把那誓言轻轻戴在你的手指,从此以后俩个人要一生一世,仔仔细细看看你今夜美丽的样子,将是我未来怀抱里唯一的名字 ​​​

6 :56.会有一点点失落，这世界有那么多人，总擦肩而过…… ​​​

7 :大胖子穿小褂——不合身 ​​​

8 :我想，雨过之后，应该有一个月圆的日子了吧？ ​​​

9 :【让孩子长高的7大秘诀】1、蛋白质、矿物质不能缺；2、每天必须户外活动1小时；3、晚上10点前睡觉；4、尽量少蹲着；5、衣袜宽松点；6、每两个月量次身高；7、别迷信增高补品。 ​​​

10 :舞台上的灯光——引人注目 ​​​

11 :水能载舟，亦能煮粥！ ​​​

12 :离开之后，我想你不要忘记一件事：不要忘记想念我。想念我的时候，不要忘记，我也在想念你。 ​​​

13 :是不是说一句我爱你就可以一直在一起。 ​​​

14 :小袋~你知道的太多了~~ ​​​

15 :枪姐AliciaKeys异国复古情调新单曲《TearsAlwaysWin》这首歌是由AliciaKeys和“火星哥”BrunoMars共同创作，听起来非常上口一起感受下吧~ ​​​

16 :幸福就是只要牵对了手，就算失去了方向感，但仍然不会害怕。 ​​​

17 :劳于读书，逸于作文。——程端礼 ​​​

18 :发奋忘食，乐以忘忧，不知老之将至。 ​​​

19 :【提高工作效率的7个办法】1）活用记事本，将它作为时间管理的起点；2）养成健康的生活习惯；3）借助他人的力量，增强克制力，4）灵活选择住所的位置；5）控制交通耗时；6）提高做家务事的效率；7）重新认识生活中的零散时间。 ​​​

20 :土地庙没顶——神气通天 ​​​

21 :魔笛阿里巴巴cosplay. ​​​

22 :我不是一个优秀的演员，不能微笑着旁观你们幸福。 ​​​

23 :因为真的很在乎，所以我一直都在装作不在乎。 ​​​

24 :问题就像红太郎手中的平底锅一样层出不穷…… ​​​

25 :我羡慕那些轻而易举就得到幸福的人。 ​​​

26 :瓦罐里的蛐蛐——一个劲地往外蹦 ​​​

27 :要努力！！为了你的奥迪我的迪奥。 ​​​

28 :去年花里逢君别，今日花开已一年。一在天之涯，一在地之角。 ​​​

29 :【恋爱心理学】与你无缘的人，你与他说话再多也是废话，与你有缘的人，你的存在就能惊醒他所有的感觉。 ​​​

30 :腿肚子抽筋——寸步难行 ​​​

31 :爸爸，都说儿女大了不肯和父母沟通，其实是你不愿意倾听、不愿意理解我们啊！你们会慢慢失去得到这些的权利，而且永远不会重新拥有！ ​​​

32 :【《死亡笔记》原作大场鸠新作《SKIP！山田君》下月刊载】过去曾与小畑健合作，担当过《食梦者》原作的大场鸠新作漫画即将登场。新作名为《SKIP！山田君》，漫画由《邻座的怪同学》的漫画作者robico绘制，在5月8日发售的“周刊YoungJUMP”23号上展开连载。 ​​​

33 :跟老公拌嘴，没理他，过了一会他抱着我哄我开心叫我别生气了，我:“你不是嫌我丑吗？滚开！”把他推一边.老公说:“老婆别生气了好吗？我不是那意思，就算你长得再丑还不是我老婆嘛!”…………卧槽！ ​​​

34 :93.“回床率”，这不得不说是个好词儿。 ​​​

35 :沉默的夜里，清冷的月光，单调的路灯，迷茫的夜路，孤单的人，寂寞的心。昏暗的路灯将孤独的身影长长的拖在地上。思念垒积着思念，寂寞堆积着寂寞，痛苦重叠着痛苦，脆弱的心房已无力承受。 ​​​

36 :人总因喜欢苹果而放弃了手中拥有的桔子，可后来发觉原来苹果也不过如此，还不如桔子好吃，于是把责怪都加在苹果身上，后悔自己的选择！ ​​​

37 :爸爸，都说儿女大了不肯和父母沟通，其实是你不愿意倾听、不愿意理解我们啊！你们会慢慢失去得到这些的权利，而且永远不会重新拥有！ ​​​

38 :只要不让年轻时美丽的梦想随岁月飘逝，成功总有一天会出现在你的面前。 ​​​

39 :你才是我想要的一切。我已经开始想念和你在一起了。为什么你要一直说再见？ ​​​

