happy阳光人生付亿 女/湖北         加关注



忘记你，是[熊猫]为了证明我可以忘记你。 ​​​

1 :觉得有[赞]个对象好麻烦，可是看到街上的人成双成对的最在一起又羡慕。 ​​​

2 :想和你谈[去旅行]一天恋爱，拖拖手吃吃饭 ​​​

3 :“要骗我你也把你身边的酒瓶子都收掉好不好....”她转过头，看着[摊手]他向自己走来.... ​​​

4 :智慧[黑线]，不是死的默念，而是生的沉思。 ​​​

5 :天气变[亲亲]得真快，北风悄悄吹来，出门外套要带，睡觉记着要盖，多吃水果青菜，还要记着补钙，健康永远相伴！ ​​​

6 :心病终须心药治，解铃还是系[嘻嘻]铃人。 ​​​

7 :后来才发现什么[草泥马]高深的情话都不如世间始终你好 ​​​

8 :和所爱的人在路边摊子吃过的小吃、分着吃的一杯冰淇淋或是一碗热腾腾的汤面、异国旅途上一个温暖的早餐......所有这些记忆的味道，总有一些会长留心上。人间烟火、饮食男女，虽然琐碎，却也是活着的味道。 ​​​

9 :今夜，星辰如海，旋律涓涓流淌，是我在呼唤，在思念，在牵挂。我喜欢用文字为你编织美妙的往事，我喜欢在文字里想你，我喜欢把我们之间的点滴都记录在这里，在心里。 ​​​

10 :屎壳郎上饭桌——恶心 ​​​

11 :我不在办公室，请把文件交给我的秘书 ​​​

12 :我的手机已经用了三年多，觉得跟不上潮流，于是向老妈请示，想换一个。老妈说：“要换就换一个一步到位的！”我一听很惊喜，谁知我妈后面又补了一句：直接给你换一个老人机！ ​​​

13 :额头上写字——明摆着 ​​​

14 :上海的美女走在街上向来目不斜视，高傲地只看前方，穿马路也不例外；上海的男人却大多目不正视，竭力搜索美女，脸上的肌肉已经被培训得可以不受大脑控制而独立行动，见到美女就会调出个笑，因为如此的关注，所以，在上海只听到车子撞老太婆，鲜闻有车子撞上美女。 ​​​

15 :【目前的爱情会突然死亡吗】谁都希望自己的爱情最终能够修得正果，彼此双方共赴爱的婚姻殿堂。可是你想过没有，可能事情并不会按照你想象的那样顺利，你们爱的历程可能会很复杂，甚至会半路夭折哦。 ​​​

16 :相信我，我跟她己经分了。（分？是分不清楚吧！） ​​​

17 :个性签名：有些往事搁在心底不提也罢，有些过去谁能保证不会想念， ​​​

18 :高个子走到屋檐下——不得不低头 ​​​

19 :爱令我勇于报答太多人，但却不知道，如何死里逃生。 ​​​

20 :做人一定要做一个蹦蹦跳跳的人。 ​​​

21 :小姐，对不起，我长得不帅。但不是每个女人都有机会。 ​​​

22 :会发生交通拥堵的地方除了公路，还有女厕。。。 ​​​

23 :胸窝里挂门板——好大的牌子 ​​​

24 :一生遇到的大部分人，都是从陌生到熟悉、再从熟悉到陌生。这是世间最无奈的聚散。所以跟越在乎的人在一起，越是想要折腾。感情中的那些互相的折磨，都不过是想把一个人长久的留在生命里。 ​​​

25 :.着火救人把消防员抬出来了--无语 ​​​

26 :沉忧能伤人，绿鬓成霜蓬。——李白《怨歌行》 ​​​

27 :十五张画贴一块——七拼八凑 ​​​

