本困困熊今天也很困 女/浙江         加关注

陌生人不要关注我

我的小号，真像个小号 ​​​

1 :[嘻嘻] ​​​

2 :好喜欢这张 ​​​

3 :大家好，我困了 ​​​

4 :在吗 ​​​

5 :废柴点心 ​​​

6 :小超爱了 ​​​

7 :我的小熊围脖也不知道去哪了 ​​​

8 :忘记带保温杯 ​​​

9 :讨厌一切无视我弱点的人 ​​​

10 :大家天天开心 ​​​

11 :怀旧是抑郁的温和形式 ​​​

12 :冲动消费了 ​​​

13 :人吧。没点心机是不是都不是人 ​​​

14 :我好像是个笨蛋 ​​​

15 :回头，我都在你身边@可以开心了吗 ​​​

16 :想妈妈[泪][泪][泪][泪][泪][泪][泪][泪] ​​​

17 :我冻死了 ​​​

18 :果然垃圾就是垃圾。 ​​​

19 :第n次弃考。 ​​​

20 :睡觉前想，明天穿裙子吧！！然后一想起有美术课，算了算了不穿了，白丝分分钟脏掉，日积月累，裙子和制服就堆起来堆起来了 ​​​

21 :为什么别人穿衣服那么好看，我每天穿的都是什么几把? ? ​​​

22 :靠止痛药维生 ​​​

23 :我可能有心脏病，最好是真的，还有立刻被吓死。 ​​​

24 :别再自我安慰了，ok? ​​​

25 :什么时候可以去死 ​​​

26 :勾到插板的线，桌上东西全撒了，玻璃杯的渣子全进了拖鞋，狼狈不堪。 ​​​

27 :我觉得我有毛病， ​​​

28 :要做个自律女孩(我现在好饿) ​​​

29 :空手[ok] ​​​

30 :昨天做了三节课数独，数学课屁点没听，今天数学课老师写题目是昨天的内容，全都会写，不会写的也是一点就通了，数独开发我的大脑了吗...嘻嘻 ​​​

31 :要变成坏脾气 ​​​

32 :讨厌在公众场合大喊大叫的...太没素质了吧 ​​​

33 :今天动车站人好少哦，刚跟毛酱视频了一下平复了我一个人孤独寂寞的心[泪]祝我一路顺风 ​​​

34 :醒来家里没有一个人，完全习惯了，从小到大都这样，包括经常晚上一个人在家 ​​​

35 :分享图片 ​​​

36 :我恨大巴，把我停在了乐清不知名的地方...迷路的小孩在等小姐姐来接我[泪] ​​​

37 :粗胳膊女孩不容易。。 ​​​

38 :说话奶声奶气的，然后跟他妈咪在练数数? 手指比划123456789，然后9弄错了哈哈哈哈哈 ​​​

39 :妈呀我又遇到了好可爱的小朋友哈哈哈哈哈太可爱了 ​​​

40 :第一次，一个人，跑这么远，这么偏僻[泪]好看照片背后的辛酸 ​​​

41 :笑死了 ​​​

42 :我想尿尿，但是服务站好像不下车...就算停了服务站我也不一定去，对公厕有一种神奇的洁癖...... ​​​

