大呲花1985 男/山东         加关注



别不好意思拒绝别人反正那些好意思为难你的人都不是什么好人. ​​​

1 :示范搭配：靛色无袖衬衫裙+褐色平底凉鞋+褐色链条包+褐色腰带。 ​​​

2 :有些人，有些往事有些人只是遇见，匆匆的行程里眼光的一次对视。不需言语，忽略情节。有些人会在心上驻留一些时间，带给彼此温暖。那是最美的一种际遇，留待余生去不断重复地去想起。那些片段，断片；记得，回忆，然后遗忘。 ​​​

3 :12星座的气味。白羊(和气的味道)；金牛(轻松、温和的味道)；双子(接近的味道)；射手(冷静的贵族气息)；狮子(成熟的味道)；巨蟹(温柔的味道)；处女(似有若无的味道)；天秤(温暖的味道)；天蝎(具存在感的味道)；摩羯(梦想的味道)；水瓶(自然的味道)；双鱼(茫然的味道) ​​​

4 :最困难的事情是认识自己。 ​​​

5 :莫斯科一则展示女子胸部的广告一天之内引发500多起车祸。最终警方派巡逻车围捕所有贴有该广告的卡车，并将它们扣押，所有广告被摘除。这则广告被安放在30辆卡车侧面，这些卡车在莫斯科街头巡游。广告上展示捧在手中的女性乳房，标语：“它们吸引你!”这些广告导致许多男性司机分心，诱发了517起车祸。 ​​​

6 :M-Works排气歧管（芭蕉）；M-Works钛合金排气系统；钛合金三元催化器替代管； ​​​

7 :【乔治城】华盛顿市的一个组成部分，那里保留了不少十八、十九世纪的建筑物，是个非常有情调的地区。这一带不仅是有名的观光区，还集中了许多小型餐厅和服饰店，中心地带的威斯康辛大道更是华盛顿的购物天堂。游客要来乔治城最好是在午后，先沿着河岸漫步[噢耶]，欣赏沿途风景，随后找家小咖啡店坐坐。 ​​​

8 :这款阳台花园极具景观设计感，地板是最颇具匠心的打造点，木地板、鹅卵石子，小草坪，穿插铺设，纵向还特别设计了不同的层次，将植物一个个安家落户，还有水生植物的容[最右]身之处。 ​​​

9 :年少时，我们因谁因爱或是只因寂寞而同场起舞；沧桑后，我[可爱]们何因何故寂寞如初却宁愿形同陌路；而在每一个转角，每一个绳结之中其实都有一个秘密的记号，当时的我们茫然不知，却在回首之时，蓦然间发现一切脉络历历在目，方才微笑地领悟了痛苦和忧伤的来处。 ​​​

10 :小萝莉玩转[围观]火辣性感！ ​​​

11 :她不过是个歌姬，唱遍了悲欢离合，却换不得他的正眼相望。后来听说他妻妾成群，她一笑而过。她永远只能仰望他，就连在他身边的机会都没有。求不得，亦放不下。后[花心]来的后来，她依旧是那个歌姬。 ​​​

12 :爸，借我10块钱，[最右]我去买包烟。 ​​​

13 :哪儿搞的一身豹纹？[耶]还能不能一起愉快的玩耍了 ​​​

14 :这栋混凝土建筑结构对称，造型特别，地面层挑空。在此之前甚至进入了[可爱]房子，访问是在地面层通过两个相互对称的小门。个性入口介绍了单片混凝土结构，强调强大的垂直和水平。一个极具设计感的入门，已经足以吸引人了。 ​​​

15 :没有经历过失去，就不会懂得珍惜。有的人看你一眼，你再也忘不掉；有的人，一直在你身边对你好，你却没有发现。所谓勇敢，也许是，即便没有人陪同，也可以[汽车]将这场生命旅程，走得光灿明亮，自由怅惘。 ​​​

